營業行車次數(班次),,,,,,,,,,,,,,,,,,,,,,,
,總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
日期,,,,,,,,,,,,,,,,,,,,,,,
112年05月,2341119,626236,801286,173076,254212,89427,219833,23417,7612,1302,6480,3440,5067,4265,14931,4263,4207,6155,55832,17075,6870,12741,3392
112年06月,2222695,598345,754055,168474,237979,86186,208532,22457,7296,1260,6139,2879,4918,4244,14500,3912,4031,5874,54336,16316,6654,11460,2848
112年07月,2253827,607507,770413,171654,253835,83709,202429,22553,7489,1302,5948,1770,5014,4213,13072,3267,3599,4478,54570,15649,6786,11842,2728
112年08月,2283242,610693,777205,174762,254367,88689,209071,21882,7603,1302,5913,1947,5052,4420,14060,3216,4851,4949,55778,15804,7030,11842,2806
112年09月,2206650,593103,756811,167903,236951,81074,203247,22227,7303,1260,5947,2933,4772,4028,13561,3864,4993,5593,54952,16081,6233,11020,2794
112年10月,2264991,608175,781883,172464,238151,86384,209274,22168,7274,1302,6253,2918,5108,4305,14467,3879,4944,5364,53344,16074,6976,11400,2884
112年11月,2296255,608540,808090,168667,237845,87205,210052,22400,7741,1260,6322,3173,5012,4237,17976,4122,5305,5752,55518,15746,6988,11400,2904
112年12月,2297981,617468,784539,169449,244687,89910,215628,23025,7584,1302,6503,3102,5185,4504,16524,4117,5236,5838,55444,16190,7256,11532,2958
113年(至03月),6626087,1744245,2349434,429577,705182,264255,622514,62621,22636,3822,18406,7523,15713,13073,44384,12290,18004,16550,164694,46565,22413,33690,8496
113年01月,2323380,621000,825859,149717,245052,89899,213294,21974,7887,1302,6223,2452,5298,4450,17326,4291,6427,5424,57692,16052,7227,11610,2924
113年02月,2005055,518358,706929,133945,218613,83198,193565,19035,6710,1218,5727,1893,5063,4043,9381,3513,5048,5133,50176,13702,6505,10672,2628
113年03月,2297652,604887,816646,145915,241517,91158,215655,21612,8039,1302,6456,3178,5352,4580,17677,4486,6529,5993,56826,16811,8681,11408,2944
