年,月,縣市,營業行車次數
2019,7,澎湖縣,4583
2019,7,臺中市,294864
2019,7,臺北市,1003772
2019,7,臺南市,87162
2019,7,臺東縣,2412
2019,7,花蓮縣,2743
2019,7,苗栗縣,1240
2019,7,連江縣,2294
2019,7,金門縣,12591
2019,7,雲林縣,4163
2019,7,高雄市,267688
2019,8,南投縣,1334
2019,8,嘉義市,3150
2019,8,嘉義縣,2789
2019,8,基隆市,67580
2019,8,宜蘭縣,25724
2019,8,屏東縣,8662
2019,8,彰化縣,4290
2019,8,新北市,672154
2019,8,新竹市,16527
2019,8,新竹縣,7008
2019,8,桃園市,189343
2019,8,澎湖縣,4503
2019,8,臺中市,295829
2019,8,臺北市,981231
2019,8,臺南市,83520
2019,8,臺東縣,2396
2019,8,花蓮縣,2873
2019,8,苗栗縣,1240
2019,8,連江縣,2228
2019,8,金門縣,11935
2019,8,雲林縣,4181
2019,8,高雄市,264005
2019,9,南投縣,2460
2019,9,嘉義市,2820
2019,9,嘉義縣,2732
2019,9,基隆市,65949
2019,9,宜蘭縣,23972
2019,9,屏東縣,10046
2019,9,彰化縣,4533
2019,9,新北市,642312
2019,9,新竹市,16999
2019,9,新竹縣,6681
2019,9,桃園市,178406
2019,9,澎湖縣,5768
2019,9,臺中市,287071
2019,9,臺北市,947440
2019,9,臺南市,85583
2019,9,臺東縣,2394
2019,9,花蓮縣,3104
2019,9,苗栗縣,1200
2019,9,連江縣,2380
2019,9,金門縣,11520
2019,9,雲林縣,4086
2019,9,高雄市,265758
2019,10,南投縣,2536
2019,10,嘉義市,2898
2019,10,嘉義縣,2752
2019,10,基隆市,70195
2019,10,宜蘭縣,25180
2019,10,屏東縣,10229
2019,10,彰化縣,4886
2019,10,新北市,693501
2019,10,新竹市,18064
2019,10,新竹縣,7138
2019,10,桃園市,186071
2019,10,澎湖縣,6035
2019,10,臺中市,299851
2019,10,臺北市,1004403
2019,10,臺南市,89192
2019,10,臺東縣,2471
2019,10,花蓮縣,3235
