年,月,縣市,營業行車次數(班次)
2019,08,屏東縣,8662
2019,08,彰化縣,4290
2019,08,新北市,672154
2019,08,新竹市,16527
2019,08,新竹縣,7008
2019,08,桃園市,189343
2019,08,澎湖縣,4503
2019,08,臺中市,295829
2019,08,臺北市,981231
2019,08,臺南市,83520
2019,08,臺東縣,2396
2019,08,花蓮縣,2873
2019,08,苗栗縣,1240
2019,08,連江縣,2228
2019,08,金門縣,11935
2019,08,雲林縣,4181
2019,08,高雄市,264005
2019,09,南投縣,2460
2019,09,嘉義市,2820
2019,09,嘉義縣,2732
2019,09,基隆市,65949
2019,09,宜蘭縣,23972
2019,09,屏東縣,10046
2019,09,彰化縣,4533
2019,09,新北市,642312
2019,09,新竹市,16999
2019,09,新竹縣,6681
2019,09,桃園市,178406
2019,09,澎湖縣,5768
2019,09,臺中市,287071
2019,09,臺北市,947440
2019,09,臺南市,85583
2019,09,臺東縣,2394
2019,09,花蓮縣,3104
2019,09,苗栗縣,1200
2019,09,連江縣,2380
2019,09,金門縣,11520
2019,09,雲林縣,4086
2019,09,高雄市,265758
2019,10,南投縣,2536
2019,10,嘉義市,2898
2019,10,嘉義縣,2752
2019,10,基隆市,70195
2019,10,宜蘭縣,25180
2019,10,屏東縣,10229
2019,10,彰化縣,4886
2019,10,新北市,693501
2019,10,新竹市,18064
2019,10,新竹縣,7138
2019,10,桃園市,186071
2019,10,澎湖縣,6035
2019,10,臺中市,299851
2019,10,臺北市,1004403
2019,10,臺南市,89192
2019,10,臺東縣,2471
2019,10,花蓮縣,3235
2019,10,苗栗縣,1240
2019,10,連江縣,2502
2019,10,金門縣,11935
2019,10,雲林縣,4219
