年,路線方向,路段,交流道,縣市,進出口,週類別,交通輛數
2020,國3北向,非主線資料,烏日,臺中市,進口,週2-4,6121
2020,國3南向,非主線資料,烏日,臺中市,進口,週2-4,5593
2020,國3北向,非主線資料,烏日,臺中市,出口,週六,4373
2020,國3南向,非主線資料,烏日,臺中市,出口,週六,3573
2020,國3北向,非主線資料,烏日,臺中市,進口,週六,3511
2020,國3南向,非主線資料,烏日,臺中市,進口,週六,4908
2020,國3北向,非主線資料,烏日,臺中市,出口,週日,4177
2020,國3南向,非主線資料,烏日,臺中市,出口,週日,2743
2020,國3北向,非主線資料,烏日,臺中市,進口,週日,2531
2020,國3南向,非主線資料,烏日,臺中市,進口,週日,3753
2020,國10西向,非主線資料,燕巢,高雄市,出口,週2-4,8454
2020,國10東向,非主線資料,燕巢,高雄市,出口,週2-4,8921
2020,國10西向,非主線資料,燕巢,高雄市,進口,週2-4,9339
2020,國10東向,非主線資料,燕巢,高雄市,進口,週2-4,8577
2020,國10西向,非主線資料,燕巢,高雄市,出口,週六,9042
2020,國10東向,非主線資料,燕巢,高雄市,出口,週六,6940
2020,國10西向,非主線資料,燕巢,高雄市,進口,週六,6132
2020,國10東向,非主線資料,燕巢,高雄市,進口,週六,9410
2020,國10西向,非主線資料,燕巢,高雄市,出口,週日,10341
2020,國10東向,非主線資料,燕巢,高雄市,出口,週日,5848
2020,國10西向,非主線資料,燕巢,高雄市,進口,週日,5261
2020,國10東向,非主線資料,燕巢,高雄市,進口,週日,8765
2020,國10西向,非主線資料,燕巢系統,高雄市,出口,週2-4,3820
2020,國10東向,非主線資料,燕巢系統,高雄市,出口,週2-4,16718
2020,國3北向,非主線資料,燕巢系統,高雄市,出口,週2-4,11605
2020,國3南向,非主線資料,燕巢系統,高雄市,出口,週2-4,9377
2020,國10西向,非主線資料,燕巢系統,高雄市,進口,週2-4,16580
2020,國10東向,非主線資料,燕巢系統,高雄市,進口,週2-4,4055
2020,國3北向,非主線資料,燕巢系統,高雄市,進口,週2-4,9304
2020,國3南向,非主線資料,燕巢系統,高雄市,進口,週2-4,12032
2020,國10西向,非主線資料,燕巢系統,高雄市,出口,週六,5891
2020,國10東向,非主線資料,燕巢系統,高雄市,出口,週六,21009
2020,國3北向,非主線資料,燕巢系統,高雄市,出口,週六,12281
2020,國3南向,非主線資料,燕巢系統,高雄市,出口,週六,14386
2020,國10西向,非主線資料,燕巢系統,高雄市,進口,週六,19753
2020,國10東向,非主線資料,燕巢系統,高雄市,進口,週六,6214
2020,國3北向,非主線資料,燕巢系統,高雄市,進口,週六,14200
2020,國3南向,非主線資料,燕巢系統,高雄市,進口,週六,13378
2020,國10西向,非主線資料,燕巢系統,高雄市,出口,週日,5345
2020,國10東向,非主線資料,燕巢系統,高雄市,出口,週日,20151
2020,國3北向,非主線資料,燕巢系統,高雄市,出口,週日,12904
2020,國3南向,非主線資料,燕巢系統,高雄市,出口,週日,15493
2020,國10西向,非主線資料,燕巢系統,高雄市,進口,週日,23925
2020,國10東向,非主線資料,燕巢系統,高雄市,進口,週日,5127
2020,國3北向,非主線資料,燕巢系統,高雄市,進口,週日,13794
2020,國3南向,非主線資料,燕巢系統,高雄市,進口,週日,12114
2020,國1北向,非主線資料,王田,臺中市,出口,週2-4,8139
2020,國1南向,非主線資料,王田,臺中市,出口,週2-4,9860
2020,國1北向,非主線資料,王田,臺中市,進口,週2-4,10423
2020,國1南向,非主線資料,王田,臺中市,進口,週2-4,7622
2020,國1北向,非主線資料,王田,臺中市,出口,週六,7493
2020,國1南向,非主線資料,王田,臺中市,出口,週六,8173
2020,國1北向,非主線資料,王田,臺中市,進口,週六,8556
2020,國1南向,非主線資料,王田,臺中市,進口,週六,7440
2020,國1北向,非主線資料,王田,臺中市,出口,週日,7481
2020,國1南向,非主線資料,王田,臺中市,出口,週日,6966
2020,國1北向,非主線資料,王田,臺中市,進口,週日,7538
2020,國1南向,非主線資料,王田,臺中市,進口,週日,6745
2020,國1南向,非主線資料,瑞隆路,高雄市,出口,週2-4,12223
2020,國1南向,非主線資料,瑞隆路,高雄市,出口,週六,15058
2020,國1南向,非主線資料,瑞隆路,高雄市,出口,週日,13651
2020,國3北向,非主線資料,瑪東系統,基隆市,出口,週2-4,1447
2020,國3南向,非主線資料,瑪東系統,基隆市,出口,週2-4,4108
2020,國3北向,非主線資料,瑪東系統,基隆市,進口,週2-4,4419
2020,國3南向,非主線資料,瑪東系統,基隆市,進口,週2-4,3024
2020,國3北向,非主線資料,瑪東系統,基隆市,出口,週六,4116
2020,國3南向,非主線資料,瑪東系統,基隆市,出口,週六,3621
2020,國3北向,非主線資料,瑪東系統,基隆市,進口,週六,3429
2020,國3南向,非主線資料,瑪東系統,基隆市,進口,週六,3360
2020,國3北向,非主線資料,瑪東系統,基隆市,出口,週日,2786
2020,國3南向,非主線資料,瑪東系統,基隆市,出口,週日,2915
2020,國3北向,非主線資料,瑪東系統,基隆市,進口,週日,2832
2020,國3南向,非主線資料,瑪東系統,基隆市,進口,週日,5341
2020,國1高架北向,非主線資料,環北,桃園市,出口,週2-4,24568
2020,國1高架南向,非主線資料,環北,桃園市,進口,週2-4,21599
2020,國1高架北向,非主線資料,環北,桃園市,出口,週六,24234
2020,國1高架南向,非主線資料,環北,桃園市,進口,週六,22416
2020,國1高架北向,非主線資料,環北,桃園市,出口,週日,23555
2020,國1高架南向,非主線資料,環北,桃園市,進口,週日,20944
2020,國3北向,非主線資料,田寮,屏東縣,出口,週2-4,2165
2020,國3南向,非主線資料,田寮,屏東縣,出口,週2-4,1597
2020,國3北向,非主線資料,田寮,屏東縣,進口,週2-4,1522
2020,國3南向,非主線資料,田寮,屏東縣,進口,週2-4,2231
2020,國3北向,非主線資料,田寮,屏東縣,出口,週六,2889
2020,國3南向,非主線資料,田寮,屏東縣,出口,週六,2798
2020,國3北向,非主線資料,田寮,屏東縣,進口,週六,2609
2020,國3南向,非主線資料,田寮,屏東縣,進口,週六,3007
2020,國3北向,非主線資料,田寮,屏東縣,出口,週日,3229
2020,國3南向,非主線資料,田寮,屏東縣,出口,週日,3498
2020,國3北向,非主線資料,田寮,屏東縣,進口,週日,3356
2020,國3南向,非主線資料,田寮,屏東縣,進口,週日,2982
2020,國3北向,非主線資料,白河,臺南市,出口,週2-4,1960
2020,國3南向,非主線資料,白河,臺南市,出口,週2-4,1596
2020,國3北向,非主線資料,白河,臺南市,進口,週2-4,1567
2020,國3南向,非主線資料,白河,臺南市,進口,週2-4,1971
2020,國3北向,非主線資料,白河,臺南市,出口,週六,3887
2020,國3南向,非主線資料,白河,臺南市,出口,週六,2876
2020,國3北向,非主線資料,白河,臺南市,進口,週六,2498
2020,國3南向,非主線資料,白河,臺南市,進口,週六,3625
2020,國3北向,非主線資料,白河,臺南市,出口,週日,4593
2020,國3南向,非主線資料,白河,臺南市,出口,週日,3018
2020,國3北向,非主線資料,白河,臺南市,進口,週日,3224
2020,國3南向,非主線資料,白河,臺南市,進口,週日,4721
2020,國5北向,非主線資料,石碇,宜蘭縣,出口,週2-4,2675
2020,國5南向,非主線資料,石碇,宜蘭縣,出口,週2-4,2946
2020,國5北向,非主線資料,石碇,宜蘭縣,進口,週2-4,3353
2020,國5南向,非主線資料,石碇,宜蘭縣,進口,週2-4,4608
2020,國5北向,非主線資料,石碇,宜蘭縣,出口,週六,3690
2020,國5南向,非主線資料,石碇,宜蘭縣,出口,週六,3336
2020,國5北向,非主線資料,石碇,宜蘭縣,進口,週六,4446
2020,國5南向,非主線資料,石碇,宜蘭縣,進口,週六,6789
2020,國5北向,非主線資料,石碇,宜蘭縣,出口,週日,4511
2020,國5南向,非主線資料,石碇,宜蘭縣,出口,週日,3852
2020,國5北向,非主線資料,石碇,宜蘭縣,進口,週日,4887
2020,國5南向,非主線資料,石碇,宜蘭縣,進口,週日,4186
2020,國4西向,非主線資料,神岡,臺中市,出口,週2-4,5272
2020,國4東向,非主線資料,神岡,臺中市,出口,週2-4,3111
2020,國4西向,非主線資料,神岡,臺中市,進口,週2-4,2627
2020,國4東向,非主線資料,神岡,臺中市,進口,週2-4,6095
2020,國4西向,非主線資料,神岡,臺中市,出口,週六,5451
2020,國4東向,非主線資料,神岡,臺中市,出口,週六,3060
2020,國4西向,非主線資料,神岡,臺中市,進口,週六,2577
2020,國4東向,非主線資料,神岡,臺中市,進口,週六,6007
2020,國4西向,非主線資料,神岡,臺中市,出口,週日,5639
2020,國4東向,非主線資料,神岡,臺中市,出口,週日,2941
2020,國4西向,非主線資料,神岡,臺中市,進口,週日,2471
2020,國4東向,非主線資料,神岡,臺中市,進口,週日,6275
2020,國1北向,非主線資料,竹北,新竹縣,出口,週2-4,23394
2020,國1南向,非主線資料,竹北,新竹縣,出口,週2-4,16979
2020,國1北向,非主線資料,竹北,新竹縣,進口,週2-4,17216
2020,國1南向,非主線資料,竹北,新竹縣,進口,週2-4,21961
2020,國1北向,非主線資料,竹北,新竹縣,出口,週六,16857
2020,國1南向,非主線資料,竹北,新竹縣,出口,週六,15185
2020,國1北向,非主線資料,竹北,新竹縣,進口,週六,16704
2020,國1南向,非主線資料,竹北,新竹縣,進口,週六,17666
2020,國1北向,非主線資料,竹北,新竹縣,出口,週日,15237
2020,國1南向,非主線資料,竹北,新竹縣,出口,週日,14971
2020,國1北向,非主線資料,竹北,新竹縣,進口,週日,13402
2020,國1南向,非主線資料,竹北,新竹縣,進口,週日,14261
2020,國3北向,非主線資料,竹南,待核對,出口,週2-4,3404
2020,國3南向,非主線資料,竹南,待核對,出口,週2-4,4508
2020,國3北向,非主線資料,竹南,待核對,進口,週2-4,5325
2020,國3南向,非主線資料,竹南,待核對,進口,週2-4,3302
2020,國3北向,非主線資料,竹南,待核對,出口,週六,4028
