年,月,行業別,營業額_千元,年月
2020,1,其他綜合商品零售業,8611342,202001
2020,1,食品、飲料及菸草製品零售業,21655859,202001
2020,1,文教育樂用品零售業,7441112,202001
2020,1,燃料及相關產品零售業,17693788,202001
2020,1,資通訊及家電設備零售業,21486065,202001
2020,1,汽機車及其零配件、用品零售業,68842556,202001
2020,1,電子購物及郵購業,36775041,202001
2020,1,餐飲業,62363155,202001
2020,2,百貨公司業,33287034,202002
2020,2,超級市場業,18297599,202002
2020,2,便利商店業,29078085,202002
2020,2,零售式量販業,19018805,202002
2020,2,其他綜合商品零售業,9439479,202002
2020,2,食品、飲料及菸草製品零售業,23344399,202002
2020,2,文教育樂用品零售業,7847383,202002
2020,2,燃料及相關產品零售業,19375624,202002
2020,2,資通訊及家電設備零售業,21763234,202002
2020,2,汽機車及其零配件、用品零售業,64906304,202002
2020,2,電子購物及郵購業,31517569,202002
2020,2,餐飲業,69406494,202002
2021,1,百貨公司業,31342189,202101
2021,1,超級市場業,18372017,202101
2021,1,便利商店業,29874334,202101
2021,1,零售式量販業,23015806,202101
2021,1,其他綜合商品零售業,9674522,202101
2021,1,食品、飲料及菸草製品零售業,24825822,202101
2021,1,文教育樂用品零售業,7474698,202101
2021,1,燃料及相關產品零售業,20379085,202101
2021,1,資通訊及家電設備零售業,23746813,202101
2021,1,汽機車及其零配件、用品零售業,77233476,202101
2021,1,電子購物及郵購業,33816137,202101
2021,1,餐飲業,67262489,202101
2021,2,百貨公司業,31865603,202102
2021,2,超級市場業,17069442,202102
2021,2,便利商店業,28070800,202102
2021,2,零售式量販業,19258278,202102
2021,2,其他綜合商品零售業,8781507,202102
2021,2,食品、飲料及菸草製品零售業,22664446,202102
2021,2,文教育樂用品零售業,7652777,202102
2021,2,燃料及相關產品零售業,18460283,202102
2021,2,資通訊及家電設備零售業,20303525,202102
2021,2,汽機車及其零配件、用品零售業,44987207,202102
2021,2,電子購物及郵購業,27619771,202102
2021,2,餐飲業,68355101,202102
2021,3,百貨公司業,26429860,202103
2021,3,超級市場業,16360574,202103
2021,3,便利商店業,28641880,202103
2021,3,零售式量販業,17173927,202103
2021,3,其他綜合商品零售業,10525099,202103
2021,3,食品、飲料及菸草製品零售業,20317331,202103
2021,3,文教育樂用品零售業,7144210,202103
2021,3,燃料及相關產品零售業,21258816,202103
2021,3,資通訊及家電設備零售業,19904655,202103
2021,3,汽機車及其零配件、用品零售業,68940673,202103
2021,3,電子購物及郵購業,30436788,202103
2021,3,餐飲業,62633958,202103
2021,4,百貨公司業,35183430,202104
2021,4,超級市場業,16313128,202104
2021,4,便利商店業,28230533,202104
2021,4,零售式量販業,16650191,202104
2021,4,其他綜合商品零售業,11013338,202104
2021,4,食品、飲料及菸草製品零售業,20099935,202104
2021,4,文教育樂用品零售業,7319887,202104
2021,4,燃料及相關產品零售業,20899299,202104
2021,4,資通訊及家電設備零售業,21797041,202104
