年月,年,月,行業別,用電量
2019年9月,2019,9,能源部門自用,1576774.4
2019年9月,2019,9,農業部門,288098
2019年10月,2019,10,全國用電量,23698612
2019年10月,2019,10,工業用電,12678815.5
2019年10月,2019,10,紡織成衣及服飾品製造業,477674.7
2019年10月,2019,10,紙漿、紙及紙製品製造業,300260.1
2019年10月,2019,10,化學材料及肥料製造業,2709916.5
2019年10月,2019,10,塑膠製品製造業,467785.7
2019年10月,2019,10,非金屬礦物製品製造業,483811.5
2019年10月,2019,10,基本金屬製造業,1524952.1
2019年10月,2019,10,金屬製品製造業,561656.7
2019年10月,2019,10,電子產品及電力設備製造業,4484457.6
2019年10月,2019,10,住宅用電,4746353
2019年10月,2019,10,服務業用電,4168967.3
2019年10月,2019,10,運輸及倉儲業,288594.6
2019年10月,2019,10,住宿及餐飲業,690794.9
2019年10月,2019,10,出版影音及資通訊業,291065.1
2019年10月,2019,10,金融及保險業,157725
2019年10月,2019,10,不動產業,98493.8
2019年10月,2019,10,醫療保健及社會工作服務業,302047.1
2019年10月,2019,10,藝術、娛樂及休閒服務業,127880.4
2019年10月,2019,10,運輸用電,137619.3
2019年10月,2019,10,公路,7518.1
2019年10月,2019,10,鐵路,127086.6
2019年10月,2019,10,管線運輸,3014.5
2019年10月,2019,10,能源部門自用,1683106
2019年10月,2019,10,農業部門,283750.6
2019年11月,2019,11,全國用電量,22056616.3
2019年11月,2019,11,工業用電,12177678.7
2019年11月,2019,11,紡織成衣及服飾品製造業,451073.2
2019年11月,2019,11,紙漿、紙及紙製品製造業,293349.6
