年月,年,月,家用產品,銷售額_千元,年月KEY
2022-04-01,2022,4,熱水器,379993.0,202204
2022-04-01,2022,4,瓦斯爐,238091.0,202204
2022-04-01,2022,4,其他家用電器及零組件,1049226.0,202204
2022-05-01,2022,5,家用電扇,616764.0,202205
2022-05-01,2022,5,電冰箱,469690.0,202205
2022-05-01,2022,5,排油煙機,281835.0,202205
2022-05-01,2022,5,熱水器,330998.0,202205
2022-05-01,2022,5,瓦斯爐,219812.0,202205
2022-05-01,2022,5,其他家用電器及零組件,1134844.0,202205
2022-06-01,2022,6,家用電扇,591629.0,202206
2022-06-01,2022,6,電冰箱,576402.0,202206
2022-06-01,2022,6,排油煙機,270109.0,202206
2022-06-01,2022,6,熱水器,356953.0,202206
2022-06-01,2022,6,瓦斯爐,216629.0,202206
2022-06-01,2022,6,其他家用電器及零組件,1093554.0,202206
2022-07-01,2022,7,家用電扇,618065.0,202207
2022-07-01,2022,7,電冰箱,629932.0,202207
2022-07-01,2022,7,排油煙機,328568.0,202207
2022-07-01,2022,7,熱水器,305407.0,202207
2022-07-01,2022,7,瓦斯爐,236408.0,202207
2022-07-01,2022,7,其他家用電器及零組件,970334.0,202207
2022-08-01,2022,8,家用電扇,609008.0,202208
2022-08-01,2022,8,電冰箱,581633.0,202208
2022-08-01,2022,8,排油煙機,333859.0,202208
2022-08-01,2022,8,熱水器,282838.0,202208
2022-08-01,2022,8,瓦斯爐,196398.0,202208
2022-08-01,2022,8,其他家用電器及零組件,930021.0,202208
2022-09-01,2022,9,家用電扇,490360.0,202209
2022-09-01,2022,9,電冰箱,453933.0,202209
2022-09-01,2022,9,排油煙機,308307.0,202209
2022-09-01,2022,9,熱水器,287662.0,202209
2022-09-01,2022,9,瓦斯爐,269391.0,202209
2022-09-01,2022,9,其他家用電器及零組件,962846.0,202209
2022-10-01,2022,10,家用電扇,496442.0,202210
2022-10-01,2022,10,電冰箱,549790.0,202210
2022-10-01,2022,10,排油煙機,295193.0,202210
2022-10-01,2022,10,熱水器,309879.0,202210
2022-10-01,2022,10,瓦斯爐,229608.0,202210
2022-10-01,2022,10,其他家用電器及零組件,1089224.0,202210
2022-11-01,2022,11,家用電扇,495681.0,202211
2022-11-01,2022,11,電冰箱,529562.0,202211
2022-11-01,2022,11,排油煙機,319443.0,202211
2022-11-01,2022,11,熱水器,336736.0,202211
2022-11-01,2022,11,瓦斯爐,244015.0,202211
2022-11-01,2022,11,其他家用電器及零組件,1077114.0,202211
2022-12-01,2022,12,家用電扇,524164.0,202212
2022-12-01,2022,12,電冰箱,519397.0,202212
2022-12-01,2022,12,排油煙機,347416.0,202212
2022-12-01,2022,12,熱水器,410936.0,202212
2022-12-01,2022,12,瓦斯爐,239265.0,202212
2022-12-01,2022,12,其他家用電器及零組件,1191826.0,202212
2023-01-01,2023,1,家用電扇,379019.0,202301
2023-01-01,2023,1,電冰箱,626409.0,202301
2023-01-01,2023,1,排油煙機,278810.0,202301
2023-01-01,2023,1,熱水器,414828.0,202301
2023-01-01,2023,1,瓦斯爐,221656.0,202301
2023-01-01,2023,1,其他家用電器及零組件,1014031.0,202301
2023-02-01,2023,2,家用電扇,399480.0,202302
2023-02-01,2023,2,電冰箱,298171.0,202302
2023-02-01,2023,2,排油煙機,222653.0,202302
2023-02-01,2023,2,熱水器,326883.0,202302
2023-02-01,2023,2,瓦斯爐,196371.0,202302
2023-02-01,2023,2,其他家用電器及零組件,1010476.0,202302
2023-03-01,2023,3,家用電扇,526011.0,202303
2023-03-01,2023,3,電冰箱,490017.0,202303
2023-03-01,2023,3,排油煙機,236062.0,202303
2023-03-01,2023,3,熱水器,383778.0,202303
2023-03-01,2023,3,瓦斯爐,206139.0,202303
2023-03-01,2023,3,其他家用電器及零組件,1119970.0,202303
2023-04-01,2023,4,家用電扇,455024.0,202304
2023-04-01,2023,4,電冰箱,476444.0,202304
2023-04-01,2023,4,排油煙機,180337.0,202304
2023-04-01,2023,4,熱水器,243598.0,202304
2023-04-01,2023,4,瓦斯爐,172861.0,202304
2023-04-01,2023,4,其他家用電器及零組件,958881.0,202304
2023-05-01,2023,5,家用電扇,604015.0,202305
2023-05-01,2023,5,電冰箱,575384.0,202305
2023-05-01,2023,5,排油煙機,207027.0,202305
2023-05-01,2023,5,熱水器,308242.0,202305
2023-05-01,2023,5,瓦斯爐,234016.0,202305
2023-05-01,2023,5,其他家用電器及零組件,1173085.0,202305
2023-06-01,2023,6,家用電扇,596513.0,202306
2023-06-01,2023,6,電冰箱,574785.0,202306
2023-06-01,2023,6,排油煙機,228725.0,202306
2023-06-01,2023,6,熱水器,276499.0,202306
