年,月,年月,縣市,營業行車次數_班次,年月KEY
2017,6,2017-06-01,桃園市,168645.0,201706
2017,6,2017-06-01,澎湖縣,7100.0,201706
2017,6,2017-06-01,臺中市,264044.0,201706
2017,6,2017-06-01,臺北市,1030223.0,201706
2017,6,2017-06-01,臺南市,79606.0,201706
2017,6,2017-06-01,臺東縣,2460.0,201706
2017,6,2017-06-01,花蓮縣,1982.0,201706
2017,6,2017-06-01,苗栗縣,1200.0,201706
2017,6,2017-06-01,連江縣,2436.0,201706
2017,6,2017-06-01,金門縣,10648.0,201706
2017,6,2017-06-01,雲林縣,3488.0,201706
2017,6,2017-06-01,高雄市,255080.0,201706
2017,7,2017-07-01,南投縣,753.0,201707
2017,7,2017-07-01,嘉義市,1552.0,201707
2017,7,2017-07-01,嘉義縣,2946.0,201707
2017,7,2017-07-01,基隆市,58564.0,201707
2017,7,2017-07-01,宜蘭縣,16261.0,201707
2017,7,2017-07-01,屏東縣,7629.0,201707
2017,7,2017-07-01,彰化縣,3567.0,201707
2017,7,2017-07-01,新北市,674739.0,201707
2017,7,2017-07-01,新竹市,17113.0,201707
2017,7,2017-07-01,新竹縣,7329.0,201707
2017,7,2017-07-01,桃園市,170206.0,201707
2017,7,2017-07-01,澎湖縣,5488.0,201707
2017,7,2017-07-01,臺中市,266432.0,201707
2017,7,2017-07-01,臺北市,1039797.0,201707
2017,7,2017-07-01,臺南市,78568.0,201707
2017,7,2017-07-01,臺東縣,2542.0,201707
2017,7,2017-07-01,花蓮縣,1700.0,201707
2017,7,2017-07-01,苗栗縣,1240.0,201707
2017,7,2017-07-01,連江縣,2364.0,201707
2017,7,2017-07-01,金門縣,10997.0,201707
2017,7,2017-07-01,雲林縣,3580.0,201707
2017,7,2017-07-01,高雄市,266084.0,201707
2017,8,2017-08-01,南投縣,692.0,201708
2017,8,2017-08-01,嘉義市,1612.0,201708
2017,8,2017-08-01,嘉義縣,3021.0,201708
2017,8,2017-08-01,基隆市,60576.0,201708
2017,8,2017-08-01,宜蘭縣,12507.0,201708
2017,8,2017-08-01,屏東縣,7725.0,201708
2017,8,2017-08-01,彰化縣,3576.0,201708
2017,8,2017-08-01,新北市,698419.0,201708
2017,8,2017-08-01,新竹市,17643.0,201708
2017,8,2017-08-01,新竹縣,7596.0,201708
2017,8,2017-08-01,桃園市,171159.0,201708
2017,8,2017-08-01,澎湖縣,5871.0,201708
2017,8,2017-08-01,臺中市,273234.0,201708
2017,8,2017-08-01,臺北市,1065722.0,201708
2017,8,2017-08-01,臺南市,82631.0,201708
2017,8,2017-08-01,臺東縣,2542.0,201708
2017,8,2017-08-01,花蓮縣,1798.0,201708
2017,8,2017-08-01,苗栗縣,1240.0,201708
2017,8,2017-08-01,連江縣,2390.0,201708
2017,8,2017-08-01,金門縣,10997.0,201708
2017,8,2017-08-01,雲林縣,3658.0,201708
2017,8,2017-08-01,高雄市,257956.0,201708
2017,9,2017-09-01,南投縣,738.0,201709
2017,9,2017-09-01,嘉義市,1560.0,201709
2017,9,2017-09-01,嘉義縣,3350.0,201709
2017,9,2017-09-01,基隆市,62867.0,201709
2017,9,2017-09-01,宜蘭縣,17049.0,201709
2017,9,2017-09-01,屏東縣,8590.0,201709
2017,9,2017-09-01,彰化縣,4733.0,201709
2017,9,2017-09-01,新北市,679460.0,201709
2017,9,2017-09-01,新竹市,18137.0,201709
2017,9,2017-09-01,新竹縣,7336.0,201709
2017,9,2017-09-01,桃園市,169516.0,201709
2017,9,2017-09-01,澎湖縣,7038.0,201709
2017,9,2017-09-01,臺中市,274115.0,201709
2017,9,2017-09-01,臺北市,1050339.0,201709
2017,9,2017-09-01,臺南市,80247.0,201709
2017,9,2017-09-01,臺東縣,2460.0,201709
2017,9,2017-09-01,花蓮縣,1998.0,201709
2017,9,2017-09-01,苗栗縣,1200.0,201709
2017,9,2017-09-01,連江縣,2420.0,201709
2017,9,2017-09-01,金門縣,10648.0,201709
2017,9,2017-09-01,雲林縣,3548.0,201709
