年,季,日期標準,縣市,鄉鎮市區,住宅拍賣移轉筆數,年月,日期格式
2018,2,2018-01-04,臺中市,南屯區,4,201801,2018-04-01
2018,2,2018-01-04,臺中市,北屯區,8,201801,2018-04-01
2018,2,2018-01-04,臺中市,豐原區,5,201801,2018-04-01
2018,2,2018-01-04,臺中市,清水區,2,201801,2018-04-01
2018,2,2018-01-04,臺中市,后里區,3,201801,2018-04-01
2018,2,2018-01-04,臺中市,神岡區,1,201801,2018-04-01
2018,2,2018-01-04,臺中市,潭子區,4,201801,2018-04-01
2018,2,2018-01-04,臺中市,大雅區,2,201801,2018-04-01
2018,2,2018-01-04,臺中市,新社區,1,201801,2018-04-01
2018,2,2018-01-04,臺中市,外埔區,2,201801,2018-04-01
2018,2,2018-01-04,臺中市,大肚區,2,201801,2018-04-01
2018,2,2018-01-04,臺中市,龍井區,1,201801,2018-04-01
2018,2,2018-01-04,臺中市,霧峰區,4,201801,2018-04-01
2018,2,2018-01-04,臺中市,大里區,5,201801,2018-04-01
2018,2,2018-01-04,臺南市,新營區,4,201801,2018-04-01
2018,2,2018-01-04,臺南市,鹽水區,1,201801,2018-04-01
2018,2,2018-01-04,臺南市,柳營區,2,201801,2018-04-01
2018,2,2018-01-04,臺南市,後壁區,1,201801,2018-04-01
2018,2,2018-01-04,臺南市,麻豆區,3,201801,2018-04-01
2018,2,2018-01-04,臺南市,下營區,3,201801,2018-04-01
2018,2,2018-01-04,臺南市,六甲區,2,201801,2018-04-01
2018,2,2018-01-04,臺南市,佳里區,2,201801,2018-04-01
2018,2,2018-01-04,臺南市,學甲區,2,201801,2018-04-01
2018,2,2018-01-04,臺南市,新化區,2,201801,2018-04-01
2018,2,2018-01-04,臺南市,新市區,2,201801,2018-04-01
2018,2,2018-01-04,臺南市,安定區,2,201801,2018-04-01
2018,2,2018-01-04,臺南市,山上區,1,201801,2018-04-01
2018,2,2018-01-04,臺南市,仁德區,4,201801,2018-04-01
2018,2,2018-01-04,臺南市,歸仁區,2,201801,2018-04-01
2018,2,2018-01-04,臺南市,永康區,13,201801,2018-04-01
2018,2,2018-01-04,臺南市,東區,4,201801,2018-04-01
2018,2,2018-01-04,臺南市,南區,6,201801,2018-04-01
2018,2,2018-01-04,臺南市,北區,4,201801,2018-04-01
2018,2,2018-01-04,臺南市,安南區,5,201801,2018-04-01
2018,2,2018-01-04,臺南市,中西區,4,201801,2018-04-01
2018,2,2018-01-04,高雄市,鼓山區,6,201801,2018-04-01
2018,2,2018-01-04,高雄市,左營區,8,201801,2018-04-01
2018,2,2018-01-04,高雄市,楠梓區,9,201801,2018-04-01
2018,2,2018-01-04,高雄市,三民區,13,201801,2018-04-01
2018,2,2018-01-04,高雄市,新興區,3,201801,2018-04-01
2018,2,2018-01-04,高雄市,苓雅區,3,201801,2018-04-01
2018,2,2018-01-04,高雄市,前鎮區,4,201801,2018-04-01
2018,2,2018-01-04,高雄市,小港區,4,201801,2018-04-01
2018,2,2018-01-04,高雄市,鳳山區,15,201801,2018-04-01
2018,2,2018-01-04,高雄市,林園區,4,201801,2018-04-01
2018,2,2018-01-04,高雄市,大寮區,7,201801,2018-04-01
2018,2,2018-01-04,高雄市,大樹區,1,201801,2018-04-01
2018,2,2018-01-04,高雄市,大社區,7,201801,2018-04-01
2018,2,2018-01-04,高雄市,仁武區,3,201801,2018-04-01
2018,2,2018-01-04,高雄市,鳥松區,2,201801,2018-04-01
2018,2,2018-01-04,高雄市,岡山區,5,201801,2018-04-01
2018,2,2018-01-04,高雄市,橋頭區,1,201801,2018-04-01
2018,2,2018-01-04,高雄市,路竹區,2,201801,2018-04-01
2018,2,2018-01-04,高雄市,湖內區,2,201801,2018-04-01
2018,2,2018-01-04,高雄市,茄萣區,1,201801,2018-04-01
2018,2,2018-01-04,高雄市,彌陀區,2,201801,2018-04-01
2018,2,2018-01-04,高雄市,梓官區,2,201801,2018-04-01
2018,2,2018-01-04,高雄市,旗山區,3,201801,2018-04-01
2018,2,2018-01-04,高雄市,美濃區,1,201801,2018-04-01
2018,2,2018-01-04,高雄市,六龜區,1,201801,2018-04-01
2018,2,2018-01-04,高雄市,杉林區,1,201801,2018-04-01
2018,2,2018-01-04,高雄市,茂林區,1,201801,2018-04-01
2018,2,2018-01-04,宜蘭縣,宜蘭市,2,201801,2018-04-01
2018,2,2018-01-04,宜蘭縣,蘇澳鎮,1,201801,2018-04-01
2018,2,2018-01-04,宜蘭縣,頭城鎮,2,201801,2018-04-01
2018,2,2018-01-04,宜蘭縣,礁溪鄉,1,201801,2018-04-01
2018,2,2018-01-04,宜蘭縣,員山鄉,1,201801,2018-04-01
2018,2,2018-01-04,宜蘭縣,冬山鄉,2,201801,2018-04-01
2018,2,2018-01-04,宜蘭縣,五結鄉,4,201801,2018-04-01
2018,2,2018-01-04,宜蘭縣,三星鄉,1,201801,2018-04-01
2018,2,2018-01-04,新竹縣,竹北市,7,201801,2018-04-01
2018,2,2018-01-04,新竹縣,新埔鎮,1,201801,2018-04-01
2018,2,2018-01-04,新竹縣,竹東鎮,3,201801,2018-04-01
2018,2,2018-01-04,新竹縣,湖口鄉,5,201801,2018-04-01
2018,2,2018-01-04,新竹縣,新豐鄉,2,201801,2018-04-01
2018,2,2018-01-04,新竹縣,寶山鄉,3,201801,2018-04-01
2018,2,2018-01-04,新竹縣,峨眉鄉,1,201801,2018-04-01
2018,2,2018-01-04,苗栗縣,苗栗市,3,201801,2018-04-01
2018,2,2018-01-04,苗栗縣,苑裡鎮,2,201801,2018-04-01
2018,2,2018-01-04,苗栗縣,通霄鎮,2,201801,2018-04-01
2018,2,2018-01-04,苗栗縣,竹南鎮,2,201801,2018-04-01
2018,2,2018-01-04,苗栗縣,頭份鎮,1,201801,2018-04-01
2018,2,2018-01-04,苗栗縣,後龍鎮,2,201801,2018-04-01
2018,2,2018-01-04,苗栗縣,卓蘭鎮,1,201801,2018-04-01
2018,2,2018-01-04,苗栗縣,大湖鄉,13,201801,2018-04-01
2018,2,2018-01-04,苗栗縣,銅鑼鄉,1,201801,2018-04-01
2018,2,2018-01-04,彰化縣,彰化市,9,201801,2018-04-01
2018,2,2018-01-04,彰化縣,和美鎮,1,201801,2018-04-01
2018,2,2018-01-04,彰化縣,北斗鎮,1,201801,2018-04-01
2018,2,2018-01-04,彰化縣,員林鎮,3,201801,2018-04-01
2018,2,2018-01-04,彰化縣,田中鎮,1,201801,2018-04-01
2018,2,2018-01-04,彰化縣,伸港鄉,2,201801,2018-04-01
2018,2,2018-01-04,彰化縣,福興鄉,3,201801,2018-04-01
2018,2,2018-01-04,彰化縣,秀水鄉,2,201801,2018-04-01
2018,2,2018-01-04,彰化縣,花壇鄉,2,201801,2018-04-01
2018,2,2018-01-04,彰化縣,埔鹽鄉,1,201801,2018-04-01
2018,2,2018-01-04,彰化縣,埔心鄉,1,201801,2018-04-01
2018,2,2018-01-04,彰化縣,永靖鄉,1,201801,2018-04-01
2018,2,2018-01-04,彰化縣,社頭鄉,2,201801,2018-04-01
2018,2,2018-01-04,彰化縣,二水鄉,1,201801,2018-04-01
2018,2,2018-01-04,彰化縣,大城鄉,1,201801,2018-04-01
2018,2,2018-01-04,彰化縣,溪州鄉,1,201801,2018-04-01
2018,2,2018-01-04,南投縣,南投市,2,201801,2018-04-01
2018,2,2018-01-04,南投縣,埔里鎮,5,201801,2018-04-01
2018,2,2018-01-04,南投縣,草屯鎮,2,201801,2018-04-01
2018,2,2018-01-04,南投縣,竹山鎮,4,201801,2018-04-01
2018,2,2018-01-04,南投縣,集集鎮,2,201801,2018-04-01
2018,2,2018-01-04,南投縣,名間鄉,1,201801,2018-04-01
2018,2,2018-01-04,南投縣,魚池鄉,1,201801,2018-04-01
