日期,匯率,年月KEY
2020-07-06,29.45100021,202007
2020-07-07,29.40410042,202007
2020-07-08,29.47900009,202007
2020-07-09,29.34020042,202007
2020-07-10,29.32999992,202007
2020-07-13,29.46299934,202007
2020-07-14,29.45599937,202007
2020-07-15,29.38769913,202007
2020-07-16,29.47699928,202007
2020-07-17,29.36389923,202007
2020-07-20,29.45400047,202007
2020-07-21,29.4470005,202007
2020-07-22,29.40200043,202007
2020-07-23,29.43169975,202007
2020-07-24,29.42670059,202007
2020-07-27,29.45100021,202007
2020-07-28,29.18000031,202007
2020-07-29,29.31200027,202007
2020-07-30,29.25900078,202007
2020-07-31,29.15999985,202007
2020-08-03,29.30999947,202008
2020-08-04,29.24799919,202008
2020-08-05,29.26499939,202008
2020-08-06,29.33810043,202008
2020-08-07,29.36910057,202008
2020-08-10,29.42099953,202008
2020-08-11,29.31299973,202008
2020-08-12,29.31800079,202008
2020-08-13,29.2961998,202008
2020-08-14,29.33889961,202008
2020-08-17,29.38199997,202008
2020-08-18,29.33569908,202008
2020-08-19,29.35470009,202008
2020-08-20,29.41600037,202008
2020-08-21,29.32099915,202008
2020-08-24,29.3920002,202008
2020-08-25,29.29000092,202008
2020-08-26,29.29000092,202008
2020-08-27,29.28170013,202008
2020-08-28,29.32320023,202008
2020-08-31,29.3314991,202008
2020-09-01,29.30800056,202009
2020-09-02,29.30349922,202009
2020-09-03,29.29290009,202009
2020-09-04,29.27899933,202009
2020-09-07,29.3239994,202009
2020-09-08,29.30520058,202009
2020-09-09,29.24699974,202009
2020-09-10,29.28100014,202009
2020-09-11,29.26860046,202009
2020-09-14,29.28199959,202009
2020-09-15,29.12299919,202009
2020-09-16,29.19499969,202009
2020-09-17,29.18000031,202009
2020-09-18,29.12210083,202009
2020-09-21,29.00499916,202009
2020-09-22,28.96870041,202009
2020-09-23,29.03300095,202009
2020-09-24,29.1923008,202009
2020-09-25,29.26409912,202009
2020-09-28,29.25180054,202009
2020-09-29,29.10000038,202009
2020-09-30,28.88999939,202009
2020-10-01,28.91200066,202010
2020-10-02,28.86700058,202010
2020-10-05,28.92000008,202010
2020-10-06,28.7052002,202010
2020-10-07,28.80699921,202010
2020-10-08,28.61300087,202010
2020-10-09,28.63170052,202010
2020-10-12,28.60099983,202010
2020-10-13,28.61000061,202010
2020-10-14,28.8355999,202010
2020-10-15,28.71800041,202010
2020-10-16,28.7329998,202010
2020-10-19,28.77199936,202010
2020-10-20,28.7133007,202010
2020-10-21,28.52300072,202010
2020-10-22,28.6760006,202010
2020-10-23,28.68099976,202010
2020-10-26,28.58300018,202010
2020-10-27,28.59679985,202010
2020-10-28,28.5739994,202010
2020-10-29,28.58300018,202010
2020-10-30,28.36560059,202010
2020-11-02,28.58359909,202011
2020-11-03,28.55830002,202011
2020-11-04,28.59460068,202011
2020-11-05,28.55170059,202011
2020-11-06,28.53129959,202011
2020-11-09,28.57500076,202011
2020-11-10,28.62540054,202011
2020-11-11,28.58709908,202011
2020-11-12,28.50869942,202011
2020-11-13,28.43199921,202011
2020-11-16,28.47999954,202011
2020-11-17,28.51510048,202011
2020-11-18,28.50099945,202011
2020-11-19,28.53000069,202011
2020-11-20,28.48699951,202011
2020-11-23,28.52630043,202011
2020-11-24,28.51790047,202011
2020-11-25,28.4673996,202011
2020-11-26,28.48019981,202011
2020-11-27,28.50970078,202011
2020-11-30,28.51799965,202011
2020-12-01,28.51670074,202012
2020-12-02,28.47299957,202012
2020-12-03,28.44099998,202012
2020-12-04,28.38829994,202012
2020-12-07,28.2159996,202012
2020-12-08,28.0,202012
2020-12-09,28.22570038,202012
2020-12-10,28.24300003,202012
2020-12-11,28.18670082,202012
2020-12-14,28.18199921,202012
2020-12-15,28.11199951,202012
2020-12-16,28.09799957,202012
2020-12-17,28.11529922,202012
2020-12-18,28.12800026,202012
2020-12-21,28.16900063,202012
2020-12-22,28.13999939,202012
2020-12-23,28.13080025,202012
2020-12-24,28.13500023,202012
2020-12-25,28.11400032,202012
2020-12-28,27.93899918,202012
2020-12-29,28.10700035,202012
2020-12-30,28.12459946,202012
2020-12-31,28.06999969,202012
2021-01-01,28.07869911,202101
