年度標籤,路線方向,路段,交流道,進出口,週六,週日,週2-4,平日
107年,國3北向,非主線資料,基港端,出口2-德安路,2304,2320,2297,
107年,國3北向,非主線資料,基港端,出口3-中山四路,1287,1046,813,
107年,國3北向,非主線資料,基港端,出口4-中山三路,1339,1330,809,
107年,國3北向,非主線資料,基港端,出口5-聯外道路,1279,1046,819,
107年,國3北向,非主線資料,基金,出口,11380,10199,11405,
107年,國3北向,非主線資料,瑪東系統,出口,2743,2330,2326,
107年,國3北向,非主線資料,瑪東系統,進口,2711,2315,3058,
107年,國3北向,非主線資料,汐止系統,出口,35217,33435,33322,
107年,國3北向,非主線資料,汐止系統,進口,18151,16576,15709,
107年,國3北向,非主線資料,新台五路,出口,15760,14857,19469,
107年,國3北向,非主線資料,新台五路,進口,9143,8117,12113,
107年,國3北向,非主線資料,南港,出口,15903,15741,18800,
107年,國3北向,非主線資料,南港系統,出口,15358,12410,9113,
107年,國3北向,非主線資料,南港系統,進口,18677,20727,15131,
107年,國3北向,非主線資料,南深路,出口,3441,2752,3043,
107年,國3北向,非主線資料,木柵,出口,16341,14987,16040,
107年,國3北向,非主線資料,木柵,進口,16155,14183,16954,
107年,國3北向,非主線資料,新店,出口,9655,9053,11153,
107年,國3北向,非主線資料,新店,進口,10556,9320,12020,
107年,國3北向,非主線資料,安坑,出口,28006,26452,28543,
107年,國3北向,非主線資料,安坑,進口1-中央路/環河路,4226,3501,4072,
107年,國3北向,非主線資料,安坑,進口2-安康路,7226,6228,8526,
107年,國3北向,非主線資料,中和,出口,36201,35945,33863,
107年,國3北向,非主線資料,中和,進口,23005,20564,23204,
107年,國3北向,非主線資料,土城,出口,40833,41464,39604,
107年,國3北向,非主線資料,土城,進口,17619,14541,20142,
107年,國3北向,非主線資料,樹林,進口,18980,18425,18392,
107年,國3北向,非主線資料,三鶯,出口,19452,19621,19618,
107年,國3北向,非主線資料,三鶯,進口,14918,14216,14792,
107年,國3北向,非主線資料,鶯歌系統,出口,20216,21732,20710,
107年,國3北向,非主線資料,鶯歌系統,進口,39382,35019,41119,
107年,國3北向,非主線資料,大溪,出口,9189,10646,7874,
107年,國3北向,非主線資料,大溪,進口,24188,22083,25183,
107年,國3北向,非主線資料,龍潭,出口,5883,8073,5451,
107年,國3北向,非主線資料,龍潭,進口,15861,15190,16497,
107年,國3北向,非主線資料,關西,出口,7119,6897,5702,
107年,國3北向,非主線資料,關西,進口,6517,7855,4811,
107年,國3北向,非主線資料,竹林,出口,6693,6547,6309,
107年,國3北向,非主線資料,竹林,進口,16104,15944,12287,
107年,國3北向,非主線資料,寶山,出口,5017,5637,7061,
107年,國3北向,非主線資料,寶山,進口,4188,4126,5336,
107年,國3北向,非主線資料,新竹系統,出口,25903,29397,28703,
107年,國3北向,非主線資料,新竹系統,進口,19453,22391,14711,
107年,國3北向,非主線資料,茄苳,出口,5776,6529,5566,
107年,國3北向,非主線資料,茄苳,進口,10294,9387,11015,
107年,國3北向,非主線資料,香山,出口,3740,4420,4436,
107年,國3北向,非主線資料,香山,進口,8063,7349,12542,
107年,國3北向,非主線資料,西濱,進口,7014,7074,7379,
107年,國3北向,非主線資料,竹南,出口,5001,5912,4461,
107年,國3北向,非主線資料,竹南,進口,4373,4715,4510,
107年,國3北向,非主線資料,大山,出口,955,1120,995,
107年,國3北向,非主線資料,大山,進口,2394,2734,2459,
107年,國3北向,非主線資料,後龍,出口,4214,4909,3842,
107年,國3北向,非主線資料,後龍,進口,3278,3895,3155,
107年,國3北向,非主線資料,通霄,出口,3747,4567,3216,
107年,國3北向,非主線資料,通霄,進口,5097,6156,4628,
107年,國3北向,非主線資料,苑裡,出口,8038,7731,8103,
107年,國3北向,非主線資料,苑裡,進口,3454,4152,3087,
107年,國3北向,非主線資料,大甲,出口,12242,12160,11643,
107年,國3北向,非主線資料,大甲,進口,3680,4247,3200,
107年,國3北向,非主線資料,中港系統,出口,6509,6249,6309,
107年,國3北向,非主線資料,中港系統,進口,15132,16052,14428,
107年,國3北向,非主線資料,沙鹿,出口,9742,9607,9800,
107年,國3北向,非主線資料,沙鹿,進口,8759,8997,8486,
107年,國3北向,非主線資料,龍井,出口,9822,10334,10546,
107年,國3北向,非主線資料,龍井,進口,10291,10193,10041,
107年,國3北向,非主線資料,和美,出口,13587,12558,15091,
107年,國3北向,非主線資料,和美,進口,5646,6549,6096,
107年,國3北向,非主線資料,彰化系統,出口,12282,12143,11658,
107年,國3北向,非主線資料,彰化系統,進口,18331,22776,16408,
107年,國3北向,非主線資料,快官,出口,23635,24700,23551,
107年,國3北向,非主線資料,快官,進口,14221,14325,14278,
107年,國3北向,非主線資料,烏日,出口,5923,5653,7010,
107年,國3北向,非主線資料,烏日,進口,4765,3925,6857,
107年,國3北向,非主線資料,中投,出口,13313,13069,12283,
107年,國3北向,非主線資料,中投,進口,8393,7959,8985,
107年,國3北向,非主線資料,霧峰,出口,31916,36590,26495,
107年,國3北向,非主線資料,霧峰,進口,14012,13387,15230,
107年,國3北向,非主線資料,霧峰系統,出口,9272,10551,5892,
107年,國3北向,非主線資料,霧峰系統,進口,19776,21548,15570,
107年,國3北向,非主線資料,草屯,"出口1-台14線,草屯",3355,4747,3157,
107年,國3北向,非主線資料,草屯,"出口2-台15線,芬園",1280,1478,1194,
107年,國3北向,非主線資料,草屯,進口,8634,10420,8060,
107年,國3北向,非主線資料,中興系統,出口,5842,6731,5027,
107年,國3北向,非主線資料,中興系統,進口,11691,13599,9830,
107年,國3北向,非主線資料,中興,出口,5956,6149,5503,
107年,國3北向,非主線資料,中興,進口,10932,10554,12169,
107年,國3北向,非主線資料,南投,出口,3498,3794,3192,
107年,國3北向,非主線資料,南投,進口,10880,10319,11022,
107年,國3北向,非主線資料,名間,出口,2867,3371,2477,
107年,國3北向,非主線資料,名間,進口,9192,10877,7566,
107年,國3北向,非主線資料,竹山,出口,5151,5075,2906,
107年,國3北向,非主線資料,竹山,進口,10031,12625,7661,
107年,國3北向,非主線資料,南雲,出口,2631,2706,1812,
107年,國3北向,非主線資料,南雲,進口,2658,3068,2267,
107年,國3北向,非主線資料,斗六,出口,4181,4475,3651,
107年,國3北向,非主線資料,斗六,進口,5224,5782,4174,
107年,國3北向,非主線資料,古坑系統,出口,2839,3072,1975,
107年,國3北向,非主線資料,古坑系統,進口,5476,7124,3829,
107年,國3北向,非主線資料,古坑,出口,1599,1809,1079,
107年,國3北向,非主線資料,古坑,進口,446,582,264,
107年,國3北向,非主線資料,梅山,出口,5675,5737,4616,
107年,國3北向,非主線資料,梅山,進口,2692,3268,2160,
107年,國3北向,非主線資料,竹崎,出口,6229,6208,5338,
107年,國3北向,非主線資料,竹崎,進口,7186,8269,5637,
107年,國3北向,非主線資料,中埔,出口,7876,8249,4883,
107年,國3北向,非主線資料,中埔,進口,6022,7169,4779,
107年,國3北向,非主線資料,水上系統,出口,2702,3091,1724,
107年,國3北向,非主線資料,水上系統,進口,5332,6091,4505,
107年,國3北向,非主線資料,白河,出口,3389,3960,1982,
107年,國3北向,非主線資料,白河,進口,3097,3915,2075,
107年,國3北向,非主線資料,柳營,出口,2937,3025,2659,
107年,國3北向,非主線資料,柳營,進口,1560,1889,1072,
107年,國3北向,非主線資料,烏山頭,出口,3752,4063,3083,
107年,國3北向,非主線資料,烏山頭,進口,1489,1744,1030,
107年,國3北向,非主線資料,官田系統,出口,5649,5950,4061,
107年,國3北向,非主線資料,官田系統,進口,3279,4310,2260,
107年,國3北向,非主線資料,善化,出口,3725,3587,3515,
107年,國3北向,非主線資料,善化,進口,3787,3850,3163,
107年,國3北向,非主線資料,新化系統,出口,7042,7327,7334,
107年,國3北向,非主線資料,新化系統,進口,11868,12777,7389,
107年,國3北向,非主線資料,關廟,出口,6412,8555,4883,
107年,國3北向,非主線資料,關廟,進口,9264,10217,7476,
107年,國3北向,非主線資料,田寮,出口,2323,2387,2097,
107年,國3北向,非主線資料,田寮,進口,3073,4332,1900,
107年,國3北向,非主線資料,燕巢系統,出口,13334,15449,12630,
107年,國3北向,非主線資料,燕巢系統,進口1-國10西,3119,3021,2451,
107年,國3北向,非主線資料,燕巢系統,進口2-國10東,9356,9803,6067,
107年,國3北向,非主線資料,九如,出口,2774,2870,2452,
107年,國3北向,非主線資料,九如,進口,10224,10985,9575,
107年,國3北向,非主線資料,長治,出口,4182,3968,3907,
107年,國3北向,非主線資料,長治,進口,5566,6277,4904,
107年,國3北向,非主線資料,麟洛,出口,7245,7050,6733,
107年,國3北向,非主線資料,麟洛,進口,4363,4618,4137,
107年,國3北向,非主線資料,竹田系統,出口,11807,15302,9901,
107年,國3北向,非主線資料,竹田系統,進口,7383,7325,6865,
107年,國3北向,非主線資料,崁頂,進口,4138,4494,4031,
107年,國3北向,非主線資料,南州,出口,618,600,516,
107年,國3北向,非主線資料,南州,進口,12841,17161,10763,
107年,國3北向,非主線資料,林邊,進口,5024,6355,3875,
107年,國3北向,非主線資料,大鵬灣端,進口,1270,1517,858,
107年,國1高架南向,非主線資料,汐止端,進口,32505,34285,30356,
107年,國1高架南向,非主線資料,堤頂,出口,11853,11492,13268,
107年,國1高架南向,非主線資料,堤頂,進口,22697,19622,26919,
107年,國1高架南向,非主線資料,環北,進口,26137,24394,24672,
107年,國1高架南向,非主線資料,五股轉接道,出口1-新五路台64,25808,21269,20754,
107年,國1高架南向,非主線資料,五股轉接道,出口2-國1平面,21245,24916,29071,
107年,國1高架南向,非主線資料,泰山轉接道,進口,40073,36826,33182,
107年,國1高架南向,非主線資料,機場系統,出口,21326,22036,21960,
107年,國1高架南向,非主線資料,機場系統,進口,7882,7366,8238,
107年,國1高架南向,非主線資料,中壢轉接道,出口,"19,726","15,262","15,264",
107年,國1高架南向,非主線資料,中壢轉接道,進口,"17,193","12,448","12,450",
107年,國1高架南向,非主線資料,楊梅端,出口,41286,36050,32419,
107年,國2東向,非主線資料,機場端,進口,44245,46200,46532,
107年,國2東向,非主線資料,大園,出口,5500,4350,4300,
107年,國2東向,非主線資料,大園,進口,18397,17178,23024,
107年,國2東向,非主線資料,大竹,出口,5697,5525,6964,
107年,國2東向,非主線資料,大竹,進口,22163,19983,25512,
107年,國2東向,非主線資料,機場系統,出口,46079,45695,50868,
107年,國2東向,非主線資料,機場系統,進口,43100,40552,44778,
107年,國2東向,非主線資料,南桃園,出口,32520,31437,35716,
107年,國2東向,非主線資料,南桃園,進口,19500,18800,19581,
107年,國2東向,非主線資料,大湳,出口,20503,18691,23601,
107年,國2東向,非主線資料,大湳,進口,22800,23800,23315,
107年,國2東向,非主線資料,鶯歌系統,出口,58948,50719,59068,
107年,國1高架北向,非主線資料,汐止端,出口,38328,34073,33639,
107年,國1高架北向,非主線資料,堤頂,出口,18647,17375,22670,
107年,國1高架北向,非主線資料,堤頂,進口,12916,11214,14188,
107年,國1高架北向,非主線資料,下塔悠,出口,6874,6562,9757,
107年,國1高架北向,非主線資料,環北,出口,28416,27623,27872,
107年,國1高架北向,非主線資料,五股轉接道,進口1-新五路台64,28897,23893,30669,
107年,國1高架北向,非主線資料,五股轉接道,進口2-國1平面,23812,23538,23887,
107年,國1高架北向,非主線資料,泰山轉接道,出口,33833,34856,30669,
107年,國1高架北向,非主線資料,機場系統,出口,8143,8049,8463,
107年,國1高架北向,非主線資料,機場系統,進口,20646,20564,21402,
107年,國1高架北向,非主線資料,中壢轉接道,出口,15987,22158,16214,
107年,國1高架北向,非主線資料,中壢轉接道,進口,20367,25390,19884,
107年,國1高架北向,非主線資料,楊梅端,進口,37182,39376,32342,
107年,國2西向,非主線資料,機場端,出口,43294,43626,46599,
107年,國2西向,非主線資料,大園,出口,18832,16580,22032,
107年,國2西向,非主線資料,大園,進口,6722,6642,7225,
107年,國2西向,非主線資料,大竹,出口,23695,20858,25258,
107年,國2西向,非主線資料,大竹,進口,4839,4431,5765,
107年,國2西向,非主線資料,機場系統,出口,35586,33332,37287,
107年,國2西向,非主線資料,機場系統,進口,46530,44316,51332,
107年,國2西向,非主線資料,南桃園,出口,15961,16754,19577,
107年,國2西向,非主線資料,南桃園,進口,22932,22666,26770,
107年,國2西向,非主線資料,大湳,出口,21815,21878,23352,
107年,國2西向,非主線資料,大湳,進口,12073,10124,11375,
107年,國2西向,非主線資料,鶯歌系統,進口,57230,57776,61021,
107年,國3甲東向,非主線資料,台北端,進口,24855,21006,24085,
107年,國3甲東向,非主線資料,萬芳,出口,8015,7005,7882,
107年,國3甲東向,非主線資料,萬芳,進口1-信義快,10889,9207,11254,
107年,國3甲東向,非主線資料,萬芳,進口2-木柵路,7787,7075,6973,
107年,國3甲東向,非主線資料,深坑端,出口,35456,30231,34297,
107年,國5南向,非主線資料,南港系統,進口,37081,30982,24859,
107年,國5南向,非主線資料,石碇,出口,3711,4299,3462,
107年,國5南向,非主線資料,石碇,進口,7463,4770,7463,
107年,國5南向,非主線資料,坪林,出口,3680,3873,2338,
107年,國5南向,非主線資料,坪林,進口,1559,880,1559,
107年,國5南向,非主線資料,頭城,出口,11725,8846,7289,
107年,國5南向,非主線資料,頭城,進口,5360,2736,5360,
107年,國5南向,非主線資料,宜蘭,出口,14265,9956,10113,
107年,國5南向,非主線資料,宜蘭,進口,6875,5856,6097,
107年,國5南向,非主線資料,羅東,出口,16810,11940,12102,
