資料期別,縣市,鄉鎮市區,住宅拍賣移轉筆數
107Q1,高雄市,左營區,11
107Q1,高雄市,楠梓區,8
107Q1,高雄市,三民區,11
107Q1,高雄市,前金區,4
107Q1,高雄市,苓雅區,2
107Q1,高雄市,前鎮區,7
107Q1,高雄市,小港區,4
107Q1,高雄市,鳳山區,12
107Q1,高雄市,林園區,10
107Q1,高雄市,大寮區,5
107Q1,高雄市,大社區,1
107Q1,高雄市,仁武區,1
107Q1,高雄市,鳥松區,5
107Q1,高雄市,岡山區,7
107Q1,高雄市,橋頭區,1
107Q1,高雄市,燕巢區,2
107Q1,高雄市,阿蓮區,1
107Q1,高雄市,湖內區,2
107Q1,高雄市,茄萣區,1
107Q1,高雄市,梓官區,4
107Q1,高雄市,旗山區,2
107Q1,高雄市,美濃區,2
107Q1,高雄市,杉林區,2
107Q1,宜蘭縣,,11
107Q1,宜蘭縣,宜蘭市,1
107Q1,宜蘭縣,羅東鎮,2
107Q1,宜蘭縣,頭城鎮,2
107Q1,宜蘭縣,礁溪鄉,3
107Q1,宜蘭縣,壯圍鄉,1
107Q1,宜蘭縣,冬山鄉,1
107Q1,宜蘭縣,五結鄉,1
107Q1,新竹縣,,21
107Q1,新竹縣,竹北市,3
107Q1,新竹縣,新埔鎮,1
107Q1,新竹縣,竹東鎮,8
107Q1,新竹縣,湖口鄉,4
107Q1,新竹縣,新豐鄉,5
107Q1,苗栗縣,,22
107Q1,苗栗縣,苗栗市,11
107Q1,苗栗縣,通霄鎮,2
107Q1,苗栗縣,竹南鎮,1
107Q1,苗栗縣,頭份鎮,3
107Q1,苗栗縣,卓蘭鎮,2
107Q1,苗栗縣,公館鄉,1
107Q1,苗栗縣,銅鑼鄉,1
107Q1,苗栗縣,三義鄉,1
107Q1,彰化縣,,30
107Q1,彰化縣,彰化市,6
107Q1,彰化縣,鹿港鎮,1
107Q1,彰化縣,和美鎮,1
107Q1,彰化縣,北斗鎮,1
107Q1,彰化縣,員林鎮,3
107Q1,彰化縣,溪湖鎮,1
107Q1,彰化縣,田中鎮,1
107Q1,彰化縣,二林鎮,1
107Q1,彰化縣,線西鄉,1
107Q1,彰化縣,伸港鄉,1
107Q1,彰化縣,花壇鄉,2
107Q1,彰化縣,埔鹽鄉,2
107Q1,彰化縣,社頭鄉,1
107Q1,彰化縣,埤頭鄉,2
107Q1,彰化縣,芳苑鄉,1
107Q1,彰化縣,大城鄉,3
107Q1,彰化縣,溪州鄉,2
107Q1,南投縣,,10
107Q1,南投縣,南投市,4
107Q1,南投縣,埔里鎮,2
107Q1,南投縣,草屯鎮,1
107Q1,南投縣,名間鄉,1
107Q1,南投縣,鹿谷鄉,1
107Q1,南投縣,魚池鄉,1
107Q1,雲林縣,,24
107Q1,雲林縣,斗六市,4
107Q1,雲林縣,斗南鎮,3
107Q1,雲林縣,虎尾鎮,4
107Q1,雲林縣,西螺鎮,1
107Q1,雲林縣,土庫鎮,1
107Q1,雲林縣,北港鎮,4
107Q1,雲林縣,古坑鄉,1
107Q1,雲林縣,大埤鄉,1
107Q1,雲林縣,林內鄉,2
107Q1,雲林縣,崙背鄉,2
107Q1,雲林縣,元長鄉,1
107Q1,嘉義縣,,16
107Q1,嘉義縣,太保市,1
107Q1,嘉義縣,朴子市,1
107Q1,嘉義縣,大林鎮,2
107Q1,嘉義縣,民雄鄉,1
107Q1,嘉義縣,溪口鄉,3
107Q1,嘉義縣,新港鄉,1
107Q1,嘉義縣,東石鄉,1
107Q1,嘉義縣,水上鄉,3
107Q1,嘉義縣,中埔鄉,1
107Q1,嘉義縣,梅山鄉,1
107Q1,嘉義縣,大埔鄉,1
107Q1,屏東縣,,32
107Q1,屏東縣,屏東市,8
107Q1,屏東縣,潮州鎮,1
107Q1,屏東縣,東港鎮,2
107Q1,屏東縣,恆春鎮,1
107Q1,屏東縣,萬丹鄉,2
107Q1,屏東縣,鹽埔鄉,1
107Q1,屏東縣,高樹鄉,1
107Q1,屏東縣,萬巒鄉,1
107Q1,屏東縣,新埤鄉,1
107Q1,屏東縣,枋寮鄉,2
107Q1,屏東縣,新園鄉,2
107Q1,屏東縣,崁頂鄉,3
107Q1,屏東縣,林邊鄉,2
107Q1,屏東縣,佳冬鄉,1
107Q1,屏東縣,枋山鄉,1
107Q1,屏東縣,三地門鄉,1
