年月,年, 月,家用產品,銷售額(千元)
2025年3月,2025,3,其他家用電器及零組件,1059808
2025年4月,2025,4,家用電扇,560291
2025年4月,2025,4,電冰箱,430507
2025年4月,2025,4,排油煙機,253361
2025年4月,2025,4,熱水器,317059
2025年4月,2025,4,瓦斯爐,226564
2025年4月,2025,4,其他家用電器及零組件,1051306
2025年5月,2025,5,家用電扇,488398
2025年5月,2025,5,電冰箱,433200
2025年5月,2025,5,排油煙機,295835
2025年5月,2025,5,熱水器,320989
2025年5月,2025,5,瓦斯爐,222174
2025年5月,2025,5,其他家用電器及零組件,1044610
2025年6月,2025,6,家用電扇,445699
2025年6月,2025,6,電冰箱,549803
2025年6月,2025,6,排油煙機,286213
2025年6月,2025,6,熱水器,273607
2025年6月,2025,6,瓦斯爐,234046
2025年6月,2025,6,其他家用電器及零組件,1046019
2025年7月,2025,7,家用電扇,395075
2025年7月,2025,7,電冰箱,547788
2025年7月,2025,7,排油煙機,219287
2025年7月,2025,7,熱水器,319592
2025年7月,2025,7,瓦斯爐,212241
2025年7月,2025,7,其他家用電器及零組件,953272
2025年8月,2025,8,家用電扇,387090
2025年8月,2025,8,電冰箱,452565
2025年8月,2025,8,排油煙機,252070
2025年8月,2025,8,熱水器,360298
2025年8月,2025,8,瓦斯爐,229048
2025年8月,2025,8,其他家用電器及零組件,961424
2025年9月,2025,9,家用電扇,315735
2025年9月,2025,9,電冰箱,353921
2025年9月,2025,9,排油煙機,253847
2025年9月,2025,9,熱水器,416816
2025年9月,2025,9,瓦斯爐,199197
2025年9月,2025,9,其他家用電器及零組件,941975
2025年10月,2025,10,家用電扇,319594
2025年10月,2025,10,電冰箱,537037
2025年10月,2025,10,排油煙機,270483
2025年10月,2025,10,熱水器,296408
2025年10月,2025,10,瓦斯爐,233113
2025年10月,2025,10,其他家用電器及零組件,858522
2025年11月,2025,11,家用電扇,296834
2025年11月,2025,11,電冰箱,482286
2025年11月,2025,11,排油煙機,244370
2025年11月,2025,11,熱水器,331791
2025年11月,2025,11,瓦斯爐,217026
2025年11月,2025,11,其他家用電器及零組件,984579
2025年12月,2025,12,家用電扇,384038
2025年12月,2025,12,電冰箱,560432
2025年12月,2025,12,排油煙機,294248
2025年12月,2025,12,熱水器,373834
2025年12月,2025,12,瓦斯爐,269538
2025年12月,2025,12,其他家用電器及零組件,1079913
2026年1月,2026,1,家用電扇,324584
2026年1月,2026,1,電冰箱,496269
2026年1月,2026,1,排油煙機,326589
2026年1月,2026,1,熱水器,441542
2026年1月,2026,1,瓦斯爐,302104
2026年1月,2026,1,其他家用電器及零組件,1071887
