年,月,縣市,行政區,店面數,土地面積,超商密度
2018,1,臺北市,萬華區,52,8.8522,5.874246
2018,1,臺東縣,大武鄉,1,69.1454,0.014462
2018,1,臺東縣,太麻里鄉,3,96.6523,0.031039
2018,1,臺東縣,池上鄉,1,82.6854,0.012094
2018,1,臺東縣,卑南鄉,1,412.6871,0.002423
2018,1,臺東縣,東河鄉,1,210.1908,0.004758
2018,1,臺東縣,達仁鄉,1,306.4454,0.003263
2018,1,臺東縣,臺東市,24,109.7691,0.218641
2018,1,臺東縣,關山鎮,3,58.7351,0.051077
2018,1,臺東縣,蘭嶼鄉,2,48.3892,0.041332
2018,1,臺南市,七股區,1,110.1492,0.009079
2018,1,臺南市,下營區,2,33.5291,0.05965
2018,1,臺南市,大內區,1,70.3125,0.014222
2018,1,臺南市,中西區,17,6.26,2.715655
2018,1,臺南市,仁德區,12,50.7664,0.236377
2018,1,臺南市,六甲區,4,67.5471,0.059218
2018,1,臺南市,北門區,1,44.1003,0.022676
2018,1,臺南市,北區,18,10.434,1.725129
2018,1,臺南市,永康區,61,40.2753,1.514576
2018,1,臺南市,玉井區,2,76.3662,0.02619
2018,1,臺南市,白河區,6,126.4046,0.047467
2018,1,臺南市,安平區,18,11.0663,1.62656
2018,1,臺南市,安定區,7,31.27,0.223857
2018,1,臺南市,安南區,25,107.2016,0.233205
2018,1,臺南市,西港區,4,33.7666,0.11846
2018,1,臺南市,佳里區,17,38.9422,0.436544
2018,1,臺南市,官田區,4,70.7953,0.056501
2018,1,臺南市,東山區,1,124.9178,0.008005
2018,1,臺南市,東區,37,13.4156,2.757983
2018,1,臺南市,南區,28,27.2681,1.026841
2018,1,臺南市,後壁區,3,72.2189,0.04154
2018,1,臺南市,柳營區,4,61.2929,0.06526
2018,1,臺南市,將軍區,1,41.9796,0.023821
2018,1,臺南市,麻豆區,12,53.9744,0.222328
2018,1,臺南市,善化區,8,55.3097,0.14464
2018,1,臺南市,新化區,6,62.0579,0.096684
2018,1,臺南市,新市區,12,47.8096,0.250996
