Stock_Name,日期,Close,High,Low,Open,Volume,Ticker
儒鴻,2023/11/13,581,596,574,592,1286217,1476
儒鴻,2023/11/14,579,585,575,585,549355,1476
儒鴻,2023/11/15,584,584,576,583,611244,1476
儒鴻,2023/11/16,584,584,577,584,440310,1476
儒鴻,2023/11/17,578,583,570,582,596006,1476
儒鴻,2023/11/20,572,578,562,578,575265,1476
儒鴻,2023/11/21,572,576,566,566,237988,1476
儒鴻,2023/11/22,570,572,568,570,183008,1476
儒鴻,2023/11/23,575,578,569,569,327699,1476
儒鴻,2023/11/24,576,577,572,575,240028,1476
儒鴻,2023/11/27,581,594,577,579,596073,1476
儒鴻,2023/11/28,587,590,581,584,580681,1476
儒鴻,2023/11/29,584,591,579,582,889573,1476
儒鴻,2023/11/30,593,598,584,585,1187692,1476
儒鴻,2023/12/1,595,595,586,593,421304,1476
儒鴻,2023/12/4,590,596,587,593,363075,1476
儒鴻,2023/12/5,588,594,583,590,715168,1476
儒鴻,2023/12/6,589,590,583,590,331466,1476
儒鴻,2023/12/7,583,590,578,590,343531,1476
儒鴻,2023/12/8,577,586,573,585,470319,1476
儒鴻,2023/12/11,580,581,572,579,507151,1476
儒鴻,2023/12/12,570,581,566,581,622195,1476
儒鴻,2023/12/13,570,572,561,566,707151,1476
儒鴻,2023/12/14,570,575,565,570,842080,1476
儒鴻,2023/12/15,568,577,567,577,899077,1476
儒鴻,2023/12/18,574,577,565,569,587179,1476
儒鴻,2023/12/19,572,578,568,570,373036,1476
儒鴻,2023/12/20,567,576,566,576,453218,1476
儒鴻,2023/12/21,555,566,553,560,753008,1476
儒鴻,2023/12/22,551,555,543,549,620051,1476
儒鴻,2023/12/25,549,555,548,551,162039,1476
儒鴻,2023/12/26,557,558,550,558,122276,1476
儒鴻,2023/12/27,557,560,553,557,381002,1476
儒鴻,2023/12/28,559,561,552,552,275516,1476
儒鴻,2023/12/29,562,565,559,563,335066,1476
儒鴻,2024/1/2,552,563,552,561,421019,1476
儒鴻,2024/1/3,543,560,543,549,414128,1476
儒鴻,2024/1/4,550,559,546,559,386033,1476
儒鴻,2024/1/5,550,556,548,556,368221,1476
儒鴻,2024/1/8,546,557,543,552,318510,1476
儒鴻,2024/1/9,541,552,539,552,592177,1476
儒鴻,2024/1/10,552,552,540,540,292048,1476
儒鴻,2024/1/11,548,553,547,550,360085,1476
儒鴻,2024/1/12,549,550,542,548,401053,1476
儒鴻,2024/1/15,550,556,547,550,264042,1476
儒鴻,2024/1/16,540,549,539,547,450052,1476
儒鴻,2024/1/17,537,544,536,540,797024,1476
儒鴻,2024/1/18,524,537,524,535,497282,1476
儒鴻,2024/1/19,526,531,521,521,620160,1476
儒鴻,2024/1/22,534,536,524,526,360075,1476
儒鴻,2024/1/23,538,540,534,540,394160,1476
儒鴻,2024/1/24,541,546,536,546,702050,1476
儒鴻,2024/1/25,552,552,541,541,413120,1476
儒鴻,2024/1/26,550,553,546,551,236540,1476
儒鴻,2024/1/29,548,550,545,547,329083,1476
儒鴻,2024/1/30,547,555,545,555,330039,1476
儒鴻,2024/1/31,547,551,541,542,313007,1476
儒鴻,2024/2/1,555,559,549,555,541006,1476
儒鴻,2024/2/2,560,564,551,555,492150,1476
儒鴻,2024/2/5,556,556,551,552,234178,1476
儒鴻,2024/2/15,537,558,534,557,1091123,1476
儒鴻,2024/2/16,539,542,533,541,737412,1476
儒鴻,2024/2/19,521,545,513,545,2225057,1476
儒鴻,2024/2/20,544,550,520,520,1239136,1476
儒鴻,2024/2/21,548,552,540,543,636002,1476
儒鴻,2024/2/22,545,555,544,555,347045,1476
儒鴻,2024/2/23,534,545,530,544,729112,1476
儒鴻,2024/2/26,530,537,526,532,718090,1476
儒鴻,2024/2/27,536,540,531,534,360101,1476
儒鴻,2024/2/29,540,541,530,532,685261,1476
儒鴻,2024/3/1,564,568,545,547,1218207,1476
儒鴻,2024/3/4,552,560,552,560,408216,1476
儒鴻,2024/3/5,546,556,546,556,306036,1476
儒鴻,2024/3/6,546,552,546,548,183071,1476
儒鴻,2024/3/7,542,547,533,542,390076,1476
儒鴻,2024/3/8,568,580,560,565,1143363,1476
儒鴻,2024/3/11,565,570,558,560,410302,1476
儒鴻,2024/3/12,565,570,561,569,561207,1476
儒鴻,2024/3/13,560,568,559,560,348005,1476
儒鴻,2024/3/14,579,579,558,558,953378,1476
儒鴻,2024/3/15,574,580,570,579,734188,1476
儒鴻,2024/3/18,569,575,567,575,364025,1476
儒鴻,2024/3/19,552,565,552,564,943056,1476
儒鴻,2024/3/20,552,562,550,550,1170061,1476
儒鴻,2024/3/21,549,556,546,554,484044,1476
儒鴻,2024/3/22,541,545,531,540,1456041,1476
儒鴻,2024/3/25,541,549,535,535,534161,1476
儒鴻,2024/3/26,545,549,542,542,710016,1476
儒鴻,2024/3/27,551,551,544,545,435080,1476
儒鴻,2024/3/28,547,554,547,547,420284,1476
儒鴻,2024/3/29,555,557,547,547,226000,1476
儒鴻,2024/4/1,543,558,541,557,414410,1476
儒鴻,2024/4/2,549,550,543,550,358069,1476
儒鴻,2024/4/3,546,551,544,551,467105,1476
儒鴻,2024/4/8,545,550,543,546,566025,1476
儒鴻,2024/4/9,545,548,540,544,421033,1476
儒鴻,2024/4/10,554,555,545,545,396328,1476
儒鴻,2024/4/11,538,550,538,541,767165,1476
儒鴻,2024/4/12,527,542,527,536,940052,1476
儒鴻,2024/4/15,513,527,513,526,648125,1476
儒鴻,2024/4/16,505,512,503,512,448123,1476
儒鴻,2024/4/17,495,506,487,505,1755031,1476
儒鴻,2024/4/18,500,502,485,495.5,922056,1476
儒鴻,2024/4/19,487,499.5,486,491,1303109,1476
儒鴻,2024/4/22,498,505,487.5,494.5,1484414,1476
儒鴻,2024/4/23,505,508,499,503,872129,1476
儒鴻,2024/4/24,511,519,506,511,953070,1476
儒鴻,2024/4/25,511,514,503,510,529037,1476
儒鴻,2024/4/26,512,518,509,512,750020,1476
儒鴻,2024/4/29,519,520,514,519,565400,1476
儒鴻,2024/4/30,515,521,514,516,402048,1476
儒鴻,2024/5/2,495,512,494,511,975378,1476
儒鴻,2024/5/3,495,504,494,500,613030,1476
儒鴻,2024/5/6,497.5,501,495.5,500,500223,1476
儒鴻,2024/5/7,490.5,499.5,486,499,955204,1476
儒鴻,2024/5/8,490.5,493,487,491,281093,1476
儒鴻,2024/5/9,485,492,485,490.5,469080,1476
儒鴻,2024/5/10,488,489,483,488.5,288045,1476
儒鴻,2024/5/13,487,489,484,486.5,260104,1476
儒鴻,2024/5/14,490,491,487.5,489,304100,1476
儒鴻,2024/5/15,490,497,489,492,398105,1476
儒鴻,2024/5/16,487.5,496,487.5,496,365017,1476
儒鴻,2024/5/17,487,490,485,487,450108,1476
儒鴻,2024/5/20,482.5,487,482,487,505522,1476
儒鴻,2024/5/21,466,481,466,481,1049482,1476
儒鴻,2024/5/22,466,474,465,468,982108,1476
儒鴻,2024/5/23,476.5,481.5,461,461.5,1327155,1476
儒鴻,2024/5/24,487.5,501,486.5,491,2411286,1476
儒鴻,2024/5/27,478,488.5,474.5,488.5,1377266,1476
儒鴻,2024/5/28,486.5,487.5,478.5,478.5,612168,1476
儒鴻,2024/5/29,485,491,480.5,480.5,1063017,1476
儒鴻,2024/5/30,482,484.5,477,480,547005,1476
儒鴻,2024/5/31,485,491,482,482,1154023,1476
儒鴻,2024/6/3,495,495.5,488,488,523400,1476
儒鴻,2024/6/4,491.5,498,487,489,836223,1476
儒鴻,2024/6/5,499.5,505,495.5,497,831505,1476
儒鴻,2024/6/6,524,525,507,507,1791439,1476
儒鴻,2024/6/7,551,557,526,526,3111618,1476
儒鴻,2024/6/11,539,551,538,543,1102200,1476
儒鴻,2024/6/12,535,541,535,540,551503,1476
儒鴻,2024/6/13,538,542,529,536,908346,1476
儒鴻,2024/6/14,535,539,527,536,769814,1476
儒鴻,2024/6/17,532,535,528,531,513248,1476
儒鴻,2024/6/18,527,533,523,532,805343,1476
儒鴻,2024/6/19,532,542,528,528,629219,1476
儒鴻,2024/6/20,534,535,527,533,497154,1476
儒鴻,2024/6/21,528,537,526,534,756019,1476
儒鴻,2024/6/24,538,545,524,526,756069,1476
儒鴻,2024/6/25,540,546,529,540,928196,1476
儒鴻,2024/6/26,533,538,530,537,939068,1476
儒鴻,2024/6/27,533,535,523,528,985162,1476
儒鴻,2024/6/28,529,536,525,528,835249,1476
儒鴻,2024/7/1,513,525,507,525,1313305,1476
儒鴻,2024/7/2,496.5,504,493,501,1546600,1476
儒鴻,2024/7/3,521,528,490,490,1881272,1476
儒鴻,2024/7/4,524,531,523,528,657552,1476
儒鴻,2024/7/5,536,541,523,529,1217450,1476
儒鴻,2024/7/8,544,550,527,534,1489177,1476
儒鴻,2024/7/9,553,562,542,542,1533226,1476
儒鴻,2024/7/10,547,555,541,555,592234,1476
儒鴻,2024/7/11,541,547,534,544,793109,1476
儒鴻,2024/7/12,540,550,536,542,855226,1476
儒鴻,2024/7/15,548,551,540,546,799517,1476
儒鴻,2024/7/16,543,550,542,548,540669,1476
儒鴻,2024/7/17,548,554,543,543,684420,1476
儒鴻,2024/7/18,550,550,542,550,361374,1476
儒鴻,2024/7/19,548,549,538,544,631802,1476
儒鴻,2024/7/22,536,547,530,544,453266,1476
儒鴻,2024/7/23,540,544,533,537,536023,1476
儒鴻,2024/7/26,520,525,511,511,1152020,1476
儒鴻,2024/7/29,528,535,519,521,513600,1476
儒鴻,2024/7/30,528,529,521,522,213300,1476
儒鴻,2024/7/31,528,532,525,529,156030,1476
儒鴻,2024/8/1,541,544,529,533,390724,1476
儒鴻,2024/8/2,524,534,519,533,653142,1476
儒鴻,2024/8/5,490,518,487,511,915410,1476
儒鴻,2024/8/6,484,502,470.5,502,647131,1476
儒鴻,2024/8/7,506,507,482,482,621255,1476
儒鴻,2024/8/8,500,505,491.5,495,628930,1476
儒鴻,2024/8/9,497.5,517,493.5,517,1436078,1476
儒鴻,2024/8/12,503,508,496,496,494121,1476
儒鴻,2024/8/13,492,507,487,507,1207252,1476
