月,年,月2,行業別,營業額(千元)
2021年6月,2021,6月,食品、飲料及菸草製品零售業,19600309
2021年6月,2021,6月,文教育樂用品零售業,4168471
2021年6月,2021,6月,燃料及相關產品零售業,16914056
2021年6月,2021,6月,資通訊及家電設備零售業,23285645
2021年6月,2021,6月,汽機車及其零配件、用品零售業,48383758
2021年6月,2021,6月,電子購物及郵購業,36017906
2021年6月,2021,6月,餐飲業,36917524
2021年7月,2021,7月,百貨公司業,15358197
2021年7月,2021,7月,超級市場業,21776495
2021年7月,2021,7月,便利商店業,28715924
2021年7月,2021,7月,零售式量販業,20396160
2021年7月,2021,7月,其他綜合商品零售業,7128785
2021年7月,2021,7月,食品、飲料及菸草製品零售業,20315238
2021年7月,2021,7月,文教育樂用品零售業,4915610
2021年7月,2021,7月,燃料及相關產品零售業,20299614
2021年7月,2021,7月,資通訊及家電設備零售業,24231665
2021年7月,2021,7月,汽機車及其零配件、用品零售業,62278033
2021年7月,2021,7月,電子購物及郵購業,33180190
2021年7月,2021,7月,餐飲業,40866510
2021年8月,2021,8月,百貨公司業,23485119
2021年8月,2021,8月,超級市場業,22454663
2021年8月,2021,8月,便利商店業,27596003
2021年8月,2021,8月,零售式量販業,22801342
2021年8月,2021,8月,其他綜合商品零售業,8648642
2021年8月,2021,8月,食品、飲料及菸草製品零售業,22573639
2021年8月,2021,8月,文教育樂用品零售業,5834152
2021年8月,2021,8月,燃料及相關產品零售業,21816202
2021年8月,2021,8月,資通訊及家電設備零售業,22036900
2021年8月,2021,8月,汽機車及其零配件、用品零售業,54935443
2021年8月,2021,8月,電子購物及郵購業,32938254
2021年8月,2021,8月,餐飲業,52498181
2021年9月,2021,9月,百貨公司業,25202995
2021年9月,2021,9月,超級市場業,19041519
2021年9月,2021,9月,便利商店業,28265162
2021年9月,2021,9月,零售式量販業,19842948
2021年9月,2021,9月,其他綜合商品零售業,8773473
