年月,年,月,行業別,用電量
2019年5月,2019,5,基本金屬製造業,1623202.833
2019年5月,2019,5,金屬製品製造業,580975.5056
2019年5月,2019,5,電子產品及電力設備製造業,4456815.472
2019年5月,2019,5,住宅用電,3520947.788
2019年5月,2019,5,服務業用電,4041492.355
2019年5月,2019,5,運輸及倉儲業,269058.815
2019年5月,2019,5,住宿及餐飲業,623724.043
2019年5月,2019,5,出版影音及資通訊業,298129.2813
2019年5月,2019,5,金融及保險業,159078.613
2019年5月,2019,5,不動產業,124740.5556
2019年5月,2019,5,醫療保健及社會工作服務業,290659.3397
2019年5月,2019,5,藝術、娛樂及休閒服務業,110965.316
2019年5月,2019,5,運輸用電,132238.462
2019年5月,2019,5,公路,6314.439
2019年5月,2019,5,鐵路,122676.921
2019年5月,2019,5,管線運輸,3247.102
2019年5月,2019,5,能源部門自用,1737170.165
2019年5月,2019,5,農業部門,253172.7277
2019年6月,2019,6,全國用電量,22780988.48
2019年6月,2019,6,工業用電,12377739.62
2019年6月,2019,6,紡織成衣及服飾品製造業,484711.662
2019年6月,2019,6,紙漿、紙及紙製品製造業,295604.167
2019年6月,2019,6,化學材料及肥料製造業,2588256.327
2019年6月,2019,6,塑膠製品製造業,447009.032
2019年6月,2019,6,非金屬礦物製品製造業,482053.642
2019年6月,2019,6,基本金屬製造業,1525924.357
2019年6月,2019,6,金屬製品製造業,557920.2832
2019年6月,2019,6,電子產品及電力設備製造業,4351516.581
2019年6月,2019,6,住宅用電,4090440.708
2019年6月,2019,6,服務業用電,4198287.457
2019年6月,2019,6,運輸及倉儲業,284417.253
2019年6月,2019,6,住宿及餐飲業,655783.063
2019年6月,2019,6,出版影音及資通訊業,291644.93
2019年6月,2019,6,金融及保險業,161579.266
2019年6月,2019,6,不動產業,125734.5338
2019年6月,2019,6,醫療保健及社會工作服務業,307386.3584
2019年6月,2019,6,藝術、娛樂及休閒服務業,118725.528
2019年6月,2019,6,運輸用電,131772.874
2019年6月,2019,6,公路,6458.143
2019年6月,2019,6,鐵路,122244.253
2019年6月,2019,6,管線運輸,3070.478
2019年6月,2019,6,能源部門自用,1720894.097
2019年6月,2019,6,農業部門,261853.7305
2019年7月,2019,7,全國用電量,24146702.42
2019年7月,2019,7,工業用電,13186971.24
2019年7月,2019,7,紡織成衣及服飾品製造業,522443.495
2019年7月,2019,7,紙漿、紙及紙製品製造業,321680.041
2019年7月,2019,7,化學材料及肥料製造業,2784668.51
2019年7月,2019,7,塑膠製品製造業,479602.626
2019年7月,2019,7,非金屬礦物製品製造業,492539.754
2019年7月,2019,7,基本金屬製造業,1570882.827
2019年7月,2019,7,金屬製品製造業,590768.0484
2019年7月,2019,7,電子產品及電力設備製造業,4680534.318
2019年7月,2019,7,住宅用電,4354231.204
2019年7月,2019,7,服務業用電,4436938.156
2019年7月,2019,7,運輸及倉儲業,304241.409
2019年7月,2019,7,住宿及餐飲業,712343.837
2019年7月,2019,7,出版影音及資通訊業,307774.67
2019年7月,2019,7,金融及保險業,182810.745
2019年7月,2019,7,不動產業,130476.669
2019年7月,2019,7,醫療保健及社會工作服務業,340387.7034
2019年7月,2019,7,藝術、娛樂及休閒服務業,131912.333
2019年7月,2019,7,運輸用電,138056.556
2019年7月,2019,7,公路,6768.095
2019年7月,2019,7,鐵路,128156.5
2019年7月,2019,7,管線運輸,3131.961
2019年7月,2019,7,能源部門自用,1762690.436
2019年7月,2019,7,農業部門,267814.8316
2019年8月,2019,8,全國用電量,24853146.69
2019年8月,2019,8,工業用電,13209471.47
2019年8月,2019,8,紡織成衣及服飾品製造業,519783.882
2019年8月,2019,8,紙漿、紙及紙製品製造業,307297.573
2019年8月,2019,8,化學材料及肥料製造業,2814182.781
2019年8月,2019,8,塑膠製品製造業,481536.014
2019年8月,2019,8,非金屬礦物製品製造業,493734.333
2019年8月,2019,8,基本金屬製造業,1563444.723
2019年8月,2019,8,金屬製品製造業,596896.6023
2019年8月,2019,8,電子產品及電力設備製造業,4692077.201
2019年8月,2019,8,住宅用電,4879273.5
2019年8月,2019,8,服務業用電,4523003.598
2019年8月,2019,8,運輸及倉儲業,317070.359
2019年8月,2019,8,住宿及餐飲業,749898.05
2019年8月,2019,8,出版影音及資通訊業,309122.3821
2019年8月,2019,8,金融及保險業,177900.749
2019年8月,2019,8,不動產業,119522.4709
2019年8月,2019,8,醫療保健及社會工作服務業,345417.5365
2019年8月,2019,8,藝術、娛樂及休閒服務業,141533.748
2019年8月,2019,8,運輸用電,136473.901
2019年8月,2019,8,公路,6860.278
2019年8月,2019,8,鐵路,126210.187
2019年8月,2019,8,管線運輸,3403.436
2019年8月,2019,8,能源部門自用,1811451.439
2019年8月,2019,8,農業部門,293472.78
2019年9月,2019,9,全國用電量,24187347.45
2019年9月,2019,9,工業用電,12300102.8
2019年9月,2019,9,紡織成衣及服飾品製造業,479262.231
2019年9月,2019,9,紙漿、紙及紙製品製造業,294240.16
2019年9月,2019,9,化學材料及肥料製造業,2452983.606
2019年9月,2019,9,塑膠製品製造業,453583.065
2019年9月,2019,9,非金屬礦物製品製造業,470419.282
2019年9月,2019,9,基本金屬製造業,1488499.051
2019年9月,2019,9,金屬製品製造業,561849.3315
2019年9月,2019,9,電子產品及電力設備製造業,4431567.793
2019年9月,2019,9,住宅用電,5398176.841
2019年9月,2019,9,服務業用電,4491901.869
2019年9月,2019,9,運輸及倉儲業,304888.23
2019年9月,2019,9,住宿及餐飲業,769750.321
2019年9月,2019,9,出版影音及資通訊業,311208.9647
2019年9月,2019,9,金融及保險業,173947.089
2019年9月,2019,9,不動產業,110835.3326
2019年9月,2019,9,醫療保健及社會工作服務業,317692.1699
2019年9月,2019,9,藝術、娛樂及休閒服務業,137755.805
2019年9月,2019,9,運輸用電,132293.377
2019年9月,2019,9,公路,7108.378
2019年9月,2019,9,鐵路,122068.546
2019年9月,2019,9,管線運輸,3116.453
2019年9月,2019,9,能源部門自用,1576774.461
2019年9月,2019,9,農業部門,288098.0971
2019年10月,2019,10,全國用電量,23698612.09
2019年10月,2019,10,工業用電,12678815.59
2019年10月,2019,10,紡織成衣及服飾品製造業,477674.789
2019年10月,2019,10,紙漿、紙及紙製品製造業,300260.121
2019年10月,2019,10,化學材料及肥料製造業,2709916.58
2019年10月,2019,10,塑膠製品製造業,467785.77
2019年10月,2019,10,非金屬礦物製品製造業,483811.593
2019年10月,2019,10,基本金屬製造業,1524952.17
2019年10月,2019,10,金屬製品製造業,561656.7879
2019年10月,2019,10,電子產品及電力設備製造業,4484457.679
2019年10月,2019,10,住宅用電,4746353.057
2019年10月,2019,10,服務業用電,4168967.33
